,_id,category,subcategory,item_name,item_id,catalog_id,contract_id,contract_total_value,contract_start_date,contract_end_date,contract_term,purchase_id,user_name,user_id,supplier_name,supplier_id,purchase_date,delivery_date,quantity,unit_price,totalcost,cost_center,gl_account,currency,budget_owner,budget,budget_available,department,role,country,contact_number,email,supplier_rating,avg_delivery_time,lead_time,reliability_score,description,specification,discount,discount_percent,payment_terms,quarter,year,month,spend_type
0,66daab336d6bf24ccc3760a8,Office Furniture,Office Chair,Ergohuman High Back Swivel Chair,I086,CAT001,nan,,,,nan,PO627,Jenny Kennedy,US080,Watkins and Sons,SUP041,2024-08-06,2024-06-15,20,298.0,5961.0,CC100,GL17200,USD,Bob Lee,1500000.0,1498067.0,Production,Department Head,Brazil,+55 1562979748,watkinsandsons@gmail.com,3.5,5,6,2.0,"The Ergohuman High Back Swivel Chair is an ergonomic office chair designed for superior comfort and support. It features a breathable mesh back, adjustable lumbar support, and a tilt mechanism with tension control.","Specs: Mesh back, adjustable lumbar support, synchro-tilt mechanism, height adjustment, padded armrests.",,0.0,Net 35 days,2024Q3,2024,2024-08,Main Spend
1,66daab336d6bf24ccc375ebe,Networking Devices,Switch,Netgear GS105NA,I133,nan,nan,,,,nan,PO137,Vincent Graham,US014,Watkins and Sons,SUP041,2024-03-31,2024-03-04,19,290.0,5503.0,CC95,GL16700,USD,Henry Hall,700000.0,698385.0,Marketing,Department Head,Brazil,+55 1562979748,watkinsandsons@gmail.com,3.5,5,6,2.0,The Netgear GS105NA is an unmanaged Gigabit Ethernet switch designed for simple and affordable network expansion. It offers plug-and-play installation and reliable connectivity for small networks.,"Specs: 5 Gigabit Ethernet ports, fanless design, desktop/wall-mount, auto MDI/MDI-X, plug-and-play.",,0.0,Net 45 days,2024Q1,2024,2024-03,Main Spend
2,66daab336d6bf24ccc3760b0,Office Furniture,Office Chair,Ergohuman High Back Swivel Chair,I086,CAT001,nan,,,,nan,PO635,Robert Allen,US049,Watkins and Sons,SUP041,2024-03-16,2024-03-29,18,298.0,5365.0,CC80,GL15500,USD,John Doe,100000.0,98261.0,Maintenance,Procurement Manager,Brazil,+55 1562979748,watkinsandsons@gmail.com,3.5,5,6,2.0,"The Ergohuman High Back Swivel Chair is an ergonomic office chair designed for superior comfort and support. It features a breathable mesh back, adjustable lumbar support, and a tilt mechanism with tension control.","Specs: Mesh back, adjustable lumbar support, synchro-tilt mechanism, height adjustment, padded armrests.",,0.0,Net 35 days,2024Q1,2024,2024-03,Main Spend
3,66daab336d6bf24ccc375f3b,Office Furniture,Conference Table,Flash Furniture 6-Foot Bi-Fold Table,I094,nan,nan,,,,nan,PO262,Thomas Moore,US061,Watkins and Sons,SUP041,2024-03-29,2024-08-04,17,287.0,4877.0,CC84,GL15600,USD,Cathy Brown,1200000.0,1198245.0,Finance,Procurement Manager,Brazil,+55 1562979748,watkinsandsons@gmail.com,3.5,5,6,2.0,The Flash Furniture 6-Foot Bi-Fold Table is a versatile and portable conference table that can be easily stored or transported. It features a bi-fold design and a durable surface.,"Specs: Dimensions: 72"" L x 30"" W x 29.5"" H, bi-fold design, lightweight construction, carrying handle.",,0.0,Net 120 days,2024Q1,2024,2024-03,Main Spend
4,66daab336d6bf24ccc375f07,Computers & Electronics,Printer,Ricoh SP 3710DN,I131,CAT001,nan,,,,nan,PO210,Amy Burton,US040,Watkins and Sons,SUP041,2024-01-15,2024-11-02,19,248.0,4714.0,CC86,GL15800,USD,Cathy Brown,1600000.0,1588713.0,Finance,Employee,Brazil,+55 1562979748,watkinsandsons@gmail.com,3.5,5,6,2.0,"The Ricoh SP 3710DN is a reliable and efficient monochrome laser printer designed for small and medium businesses. It offers fast printing speeds, high-quality output, and networking capabilities.","Specs: Up to 35 ppm, 1200x1200 dpi, Ethernet/USB connectivity, 500-sheet tray, automatic duplex printing.",,0.0,Net 120 days,2024Q1,2024,2024-01,Main Spend
5,66daab336d6bf24ccc375f1c,Office Furniture,Conference Table,National Public Seating Table,I098,CAT001,nan,,,,nan,PO231,Mary Gross,US099,Watkins and Sons,SUP041,2024-05-06,2024-06-16,20,224.0,4473.0,CC84,GL15600,USD,Cathy Brown,1200000.0,1197434.0,Finance,Department Head,Brazil,+55 1562979748,watkinsandsons@gmail.com,3.5,5,6,2.0,The National Public Seating Table is a versatile and durable conference table suitable for various settings. It features a laminate surface and a sturdy metal frame.,"Specs: Dimensions: 72"" L x 36"" W x 29"" H, laminate surface, metal frame, easy assembly.",,0.0,Net 120 days,2024Q2,2024,2024-05,Main Spend
6,66daab336d6bf24ccc375eb2,Office Furniture,Office Chair,Ergohuman High Back Swivel Chair,I086,CAT001,nan,,,,nan,PO125,Elijah Bates,US071,Watkins and Sons,SUP041,2024-10-03,2024-12-03,14,298.0,4173.0,CC96,GL16800,USD,Alice Johnson,1400000.0,1398647.0,Assembly,Employee,Brazil,+55 1562979748,watkinsandsons@gmail.com,3.5,5,6,2.0,"The Ergohuman High Back Swivel Chair is an ergonomic office chair designed for superior comfort and support. It features a breathable mesh back, adjustable lumbar support, and a tilt mechanism with tension control.","Specs: Mesh back, adjustable lumbar support, synchro-tilt mechanism, height adjustment, padded armrests.",,0.0,Net 45 days,2024Q4,2024,2024-10,Main Spend
7,66daab336d6bf24ccc375f64,Computers & Electronics,Desktop Computer,Lenovo ThinkCentre M920,I115,CAT001,nan,,,,nan,PO303,Alicia Gilbert,US039,Watkins and Sons,SUP041,2024-02-22,2024-03-14,14,286.0,4010.0,CC94,GL16600,USD,Henry Hall,170000.0,162631.0,Marketing,Procurement Manager,Brazil,+55 1562979748,watkinsandsons@gmail.com,3.5,5,6,2.0,"The Lenovo ThinkCentre M920 is a powerful and reliable desktop computer designed for business and enterprise use. It offers high performance, robust security features, and manageability.","Specs: Intel Core i5/i7 CPU, up to 64GB RAM, up to 3TB HDD/2TB SSD, Windows 10 Pro, TPM security.",,0.0,Net 45 days,2024Q1,2024,2024-02,Main Spend
8,66daab336d6bf24ccc375ea3,Office Furniture,Office Chair,Humanscale Freedom Chair,I087,CAT001,nan,,,,nan,PO110,Jack Edwards,US045,Watkins and Sons,SUP041,2024-03-21,2024-10-04,20,191.0,3816.0,CC88,GL16000,USD,Grace Moore,11000000.0,10998160.0,Warehouse,Department Head,Brazil,+55 1562979748,watkinsandsons@gmail.com,3.5,5,6,2.0,"The Humanscale Freedom Chair is a high-end ergonomic office chair that automatically adjusts to your body movements. It features a self-adjusting recline mechanism, adjustable armrests, and a pivoting backrest.","Specs: Self-adjusting recline, pivoting backrest, adjustable armrests, weight-sensitive recline, gel-based cushions.",,0.0,Net 45 days,2024Q1,2024,2024-03,Main Spend
9,66daab336d6bf24ccc37615c,Office Furniture,Conference Table,Flash Furniture 6-Foot Bi-Fold Table,I094,nan,nan,,,,nan,PO807,April Brown,US081,Watkins and Sons,SUP041,2024-01-30,2024-12-02,13,287.0,3730.0,CC88,GL16000,USD,Grace Moore,11000000.0,10998658.0,Warehouse,Employee,Brazil,+55 1562979748,watkinsandsons@gmail.com,3.5,5,6,2.0,The Flash Furniture 6-Foot Bi-Fold Table is a versatile and portable conference table that can be easily stored or transported. It features a bi-fold design and a durable surface.,"Specs: Dimensions: 72"" L x 30"" W x 29.5"" H, bi-fold design, lightweight construction, carrying handle.",,0.0,Net 30 days,2024Q1,2024,2024-01,Main Spend
